id,denominacion,bruta,periodicidad
1,COMPENSACIÓN ANTIGUEDAD,"$13,312.80 ",MENSUAL
1,OTROS INGRESOS POR SALARIOS,"$8,071.00 ",MENSUAL
1,DIAS DE AJUSTE,"$5,990.76 ",ANUAL
2,COMPENSACIÓN ANTIGUEDAD,"$5,001.98 ",MENSUAL
2,DIAS DE AJUSTE,"$11,838.08 ",ANUAL
2,OTROS INGRESOS POR SALARIOS,"$25,713.00 ",MENSUAL
3,COMPENSACIÓN ANTIGUEDAD,"$6,549.96 ",MENSUAL
3,OTROS INGRESOS POR SALARIOS,"$22,697.00 ",MENSUAL
3,DIAS DE AJUSTE,"$9,239.04 ",ANUAL
4,COMPENSACIÓN ANTIGUEDAD,"$4,615.06 ",MENSUAL
4,OTROS INGRESOS POR SALARIOS,"$14,694.00 ",MENSUAL
4,DIAS DE AJUSTE,"$10,182.40 ",ANUAL
5,DIAS DE AJUSTE,"$12,936.67 ",ANUAL
5,COMPENSACIÓN ANTIGUEDAD,"$28,748.16 ",MENSUAL
5,OTROS INGRESOS POR SALARIOS,"$30,857.00 ",MENSUAL
5,ZONA GEOGRAFICA,"$10,267.20 ",MENSUAL
6,DIAS DE AJUSTE,"$6,235.69 ",ANUAL
6,OTROS INGRESOS POR SALARIOS,"$10,197.00 ",MENSUAL
6,COMPENSACIÓN ANTIGUEDAD,"$2,554.84 ",MENSUAL
7,DIAS DE AJUSTE,"$5,988.60 ",ANUAL
7,OTROS INGRESOS POR SALARIOS,"$9,510.00 ",MENSUAL
7,COMPENSACIÓN ANTIGUEDAD,"$13,308.00 ",MENSUAL
8,DIAS DE AJUSTE,"$5,703.60 ",ANUAL
8,OTROS INGRESOS POR SALARIOS,"$35,476.00 ",MENSUAL
9,DIAS DE AJUSTE,"$8,957.55 ",ANUAL
9,OTROS INGRESOS POR SALARIOS,"$19,777.00 ",MENSUAL
9,COMPENSACIÓN ANTIGUEDAD,"$18,280.70 ",MENSUAL
10,COMPENSACIÓN ANTIGUEDAD,"$3,194.24 ",MENSUAL
