apellido1,apellido2,nivel,nombre,name
HERNANDEZ,LOPEZ,C,SILVIA,"HERNANDEZ LOPEZ, SILVIA"
FINKELSTEIN,SHAPIRO,1,DANIEL,"FINKELSTEIN SHAPIRO, DANIEL"
ALEJO,JAIME,1,ANTONIO,"ALEJO JAIME, ANTONIO"
GIL,CARRASCO,1,FELIX,"GIL CARRASCO, FELIX"
RUIZ,CRUZ,1,MATILDE,"RUIZ CRUZ, MATILDE"
JIMENEZ,ROMAN,1,JESUS,"JIMENEZ ROMAN, JESUS"
HERNANDEZ,ZIMBRON,1,LUIS,"HERNANDEZ ZIMBRON, LUIS"
FROMOW,GUERRA,1,JORGE,"FROMOW GUERRA, JORGE"
QUIROZ,MERCADO,3,HUGO,"QUIROZ MERCADO, HUGO"
BENAVIDES,PERALES,2,GUILLERMO,"BENAVIDES PERALES, GUILLERMO"
ALEXANDROVA,KABADJOVA,1,BILIANA,"ALEXANDROVA KABADJOVA, BILIANA"
MARTINEZ,JARAMILLO,1,SERAFIN,"MARTINEZ JARAMILLO, SERAFIN"
IBARRA,RAMIREZ,1,RAUL,"IBARRA RAMIREZ, RAUL"
BATIZ,ZUK,C,ENRIQUE,"BATIZ ZUK, ENRIQUE"
LOPEZ,NORIA,C,GABRIELA,"LOPEZ NORIA, GABRIELA"
CARRILLO,ABREGO,C,JULIO,"CARRILLO ABREGO, JULIO"
TELLO,BRAVO,C,BENJAMIN,"TELLO BRAVO, BENJAMIN"
BOONMAN,sin apellido Materno,C,TJEERD,"BOONMAN sin apellido Materno, TJEERD"
ALFARO,MONTUFAR,C,CARLOS,"ALFARO MONTUFAR, CARLOS"
VARGAS,MAGAÑA,C,MARCOS,"VARGAS MAGAÑA, MARCOS"
ROMAN,RANGEL,1,EDGAR,"ROMAN RANGEL, EDGAR"
DOMINGUEZ,MEDINA,C,CHRISTIAN,"DOMINGUEZ MEDINA, CHRISTIAN"
MOYA,SANCHEZ,C,EDUARDO,"MOYA SANCHEZ, EDUARDO"
MONTERRUBIO,VELASCO,C,MARISOL,"MONTERRUBIO VELASCO, MARISOL"
CRUZ,HIPOLITO,1,HUGO,"CRUZ HIPOLITO, HUGO"
POLANCO,MARTINEZ,1,JOSUE,"POLANCO MARTINEZ, JOSUE"
CANO,RUIZ,C,AMANDA,"CANO RUIZ, AMANDA"
AGUILAR,DAVIS,C,VIRGINIA,"AGUILAR DAVIS, VIRGINIA"
GNECCO,MEDINA,3,DINO,"GNECCO MEDINA, DINO"
REYES,LUNA,1,ROSALINA,"REYES LUNA, ROSALINA"
GUTIERREZ,PEREZ,2,JAIME,"GUTIERREZ PEREZ, JAIME"
SANDOVAL,RAMIREZ,3,JESUS,"SANDOVAL RAMIREZ, JESUS"
GONZALEZ,VERGARA,2,ENRIQUE,"GONZALEZ VERGARA, ENRIQUE"
DAVILA,JIMNEZ,2,MARTIN,"DAVILA JIMNEZ, MARTIN"
EGUIBAR,CUENCA,3,JOSE,"EGUIBAR CUENCA, JOSE"
QUINTERO,CORTES,3,LETICIA,"QUINTERO CORTES, LETICIA"
HERRERA,CAMACHO,1,IRMA,"HERRERA CAMACHO, IRMA"
ARROYO,CARRANZA,1,SANDRA,"ARROYO CARRANZA, SANDRA"
BRAMBILA,COLOMBRES,2,EDUARDO,"BRAMBILA COLOMBRES, EDUARDO"
FLORES,SEGURA,1,HENOC,"FLORES SEGURA, HENOC"
ORTIZ,MARQUEZ,2,JOSE,"ORTIZ MARQUEZ, JOSE"
MANJARREZ,LOPEZ,2,ELIAS,"MANJARREZ LOPEZ, ELIAS"
SANCHEZ,ALONSO,1,MARIA,"SANCHEZ ALONSO, MARIA"
MOYAHO,MARTINEZ,1,ALEJANDRO,"MOYAHO MARTINEZ, ALEJANDRO"
JUAREZ,POSADAS,1,JORGE,"JUAREZ POSADAS, JORGE"
GIRON,ORTIZ,3,JORGE,"GIRON ORTIZ, JORGE"
TERAN,VAZQUEZ,2,JOEL,"TERAN VAZQUEZ, JOEL"
SCIOR,sin apellido Materno,2,THOMAS,"SCIOR sin apellido Materno, THOMAS"
CASTAÑEDA,LUCIO,1,MIGUEL,"CASTAÑEDA LUCIO, MIGUEL"
BERNES,FLOURIOT,3,SYLVAIN,"BERNES FLOURIOT, SYLVAIN"
CABRERA,VIVAS,1,BLANCA,"CABRERA VIVAS, BLANCA"
REYES,Y ORTEGA,1,MARIA,"REYES Y ORTEGA, MARIA"
GONZALEZ,OREJA,1,JOSE,"GONZALEZ OREJA, JOSE"
MEZA,REYES,1,MARIA,"MEZA REYES, MARIA"
SILVA,GOMEZ,1,ADRIANA,"SILVA GOMEZ, ADRIANA"
SARTILLO,PISCIL,2,FERNANDO,"SARTILLO PISCIL, FERNANDO"
QUINTERO,HERNANDEZ,1,VERONICA,"QUINTERO HERNANDEZ, VERONICA"
TRUJILLO,HERNANDEZ,1,ANGELICA,"TRUJILLO HERNANDEZ, ANGELICA"
MONTIEL,SMITH,1,MARIA,"MONTIEL SMITH, MARIA"
MENDOZA,MARTINEZ,1,ANGEL,"MENDOZA MARTINEZ, ANGEL"
MORAN,RAYA,1,CAROLINA,"MORAN RAYA, CAROLINA"
HERNANDEZ,LINARES,1,MARIA,"HERNANDEZ LINARES, MARIA"
SOSA,RIVADENEYRA,1,MARTHA,"SOSA RIVADENEYRA, MARTHA"
AMADOR,RAMIREZ,1,MARIA,"AMADOR RAMIREZ, MARIA"
REYES,SANDOVAL,2,ARTURO,"REYES SANDOVAL, ARTURO"
OREA,FLORES,1,MARIA,"OREA FLORES, MARIA"
ROSAS,MURRIETA,1,NORA,"ROSAS MURRIETA, NORA"
MARTINEZ,CONTRERAS,1,REBECA,"MARTINEZ CONTRERAS, REBECA"
ANDRES,HERNANDEZ,1,AGUSTINA,"ANDRES HERNANDEZ, AGUSTINA"
CERON,RIVERA,1,MARGARITA,"CERON RIVERA, MARGARITA"
CRUZ,GREGORIO,1,SILVANO,"CRUZ GREGORIO, SILVANO"
GALICIA,ISASMENDI,1,SALVADOR,"GALICIA ISASMENDI, SALVADOR"
MEZA,LEON,1,ROSA,"MEZA LEON, ROSA"
HERNANDEZ,TELLEZ,1,MARIA,"HERNANDEZ TELLEZ, MARIA"
FIGUEROA,CASTRO,1,DULCE,"FIGUEROA CASTRO, DULCE"
ROCHA,GRACIA,1,ROSA,"ROCHA GRACIA, ROSA"
TORRES,JACOME,1,JULIAN,"TORRES JACOME, JULIAN"
MARIN,CEVADA,C,VIANEY,"MARIN CEVADA, VIANEY"
SANSINENEA,ROYANO,1,ESTIBALIZ,"SANSINENEA ROYANO, ESTIBALIZ"
CAMARILLO,JIMENEZ,1,ELSA,"CAMARILLO JIMENEZ, ELSA"
SANDOVAL,RUIZ,C,CESAR,"SANDOVAL RUIZ, CESAR"
MERINO,MONTIEL,1,PENELOPE,"MERINO MONTIEL, PENELOPE"
SANCHEZ,GAYTAN,1,BRENDA,"SANCHEZ GAYTAN, BRENDA"
PASTELIN,ROJAS,C,CESAR,"PASTELIN ROJAS, CESAR"
PEREZ,AGUILAR,1,JOSE,"PEREZ AGUILAR, JOSE"
LOZANO,ZARAIN,1,PATRICIA,"LOZANO ZARAIN, PATRICIA"
GUEVARA,FIORE,1,PALESTINA,"GUEVARA FIORE, PALESTINA"
CEPEDA,CORNEJO,1,VERONICA,"CEPEDA CORNEJO, VERONICA"
MILFLORES,FLORES,C,LORENA,"MILFLORES FLORES, LORENA"
APARICIO,SOLANO,1,DAVID,"APARICIO SOLANO, DAVID"
TAPIA,LOPEZ,1,JESUS,"TAPIA LOPEZ, JESUS"
MORALES,LARA,C,LAURA,"MORALES LARA, LAURA"
RAMIREZ,BRAVO,C,OSVALDO,"RAMIREZ BRAVO, OSVALDO"
PEREZ,PEREZ,1,ROSA,"PEREZ PEREZ, ROSA"
CAMACHO,ABREGO,1,ISRAEL,"CAMACHO ABREGO, ISRAEL"
GOMEZ,CALVARIO,C,VICTOR,"GOMEZ CALVARIO, VICTOR"
JEREZANO,DOMINGUEZ,1,ALBERTO,"JEREZANO DOMINGUEZ, ALBERTO"
JIMENEZ,HERNANDEZ,1,JACQUELINE,"JIMENEZ HERNANDEZ, JACQUELINE"
VAZQUEZ,LIMA,1,HUGO,"VAZQUEZ LIMA, HUGO"
RIVAS,ARANCIBIA,1,SOMBRA,"RIVAS ARANCIBIA, SOMBRA"
ROMERO,LOPEZ,C,ANABEL,"ROMERO LOPEZ, ANABEL"
CABALLERO,JIMENEZ,C,DOLORES,"CABALLERO JIMENEZ, DOLORES"
ORNELAS,DAVILA,C,OMAR,"ORNELAS DAVILA, OMAR"
SALDAÑA,VAZQUEZ,1,ROMEO,"SALDAÑA VAZQUEZ, ROMEO"
HERNANDEZ,ANZALDO,1,SAMUEL,"HERNANDEZ ANZALDO, SAMUEL"
ISLAS,NAVARRETE,C,ANGEL,"ISLAS NAVARRETE, ANGEL"
GORDILLO,GUERRA,C,PAOLA,"GORDILLO GUERRA, PAOLA"
MOLINA,MARTINEZ,C,ARCANGEL,"MOLINA MARTINEZ, ARCANGEL"
HANDAL,SILVA,C,ANABELLA,"HANDAL SILVA, ANABELLA"
BACA,sin apellido Materno,1,BEATRIZ,"BACA sin apellido Materno, BEATRIZ"
FUENTES,RAMIREZ,1,LUIS,"FUENTES RAMIREZ, LUIS"
