ID,FECHA CREACION, FECHA MODIFICACION,DENOMINACIÓN DE LAS GRATIFICACIONES,MONTO BRUTO DE LAS GRATIFICACIONES,MONTO NETO DE LAS GRATIFICACIONES,TIPO DE MONEDA DE LAS GRATIFICACIONES,PERIODICIDAD DE LAS GRATIFICACIONES
1569432884,24/06/2022,24/06/2022,AGUINALDO,46989.21,46989.21,PESOS,ANUAL
1569432886,24/06/2022,24/06/2022,AGUINALDO,17615.51,17615.51,PESOS,ANUAL
1569432970,24/06/2022,24/06/2022,AGUINALDO,17015.51,17015.51,PESOS,ANUAL
1569432972,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569433057,24/06/2022,24/06/2022,AGUINALDO,24301.89,24301.89,PESOS,ANUAL
1569433060,24/06/2022,24/06/2022,AGUINALDO,18785.56,18785.56,PESOS,ANUAL
1569433142,24/06/2022,24/06/2022,AGUINALDO,25126.55,25126.55,PESOS,ANUAL
1569433145,24/06/2022,24/06/2022,AGUINALDO,33669.87,33669.87,PESOS,ANUAL
1569433223,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569433226,24/06/2022,24/06/2022,AGUINALDO,17821.39,17821.39,PESOS,ANUAL
1569433282,24/06/2022,24/06/2022,AGUINALDO,14900.2,14900.2,PESOS,ANUAL
1569433285,24/06/2022,24/06/2022,AGUINALDO,10565.57,10565.57,PESOS,ANUAL
1569433287,24/06/2022,24/06/2022,AGUINALDO,15963.92,15963.92,PESOS,ANUAL
1569433377,24/06/2022,24/06/2022,AGUINALDO,17123.2,17123.2,PESOS,ANUAL
1569433379,24/06/2022,24/06/2022,AGUINALDO,18316.19,18316.19,PESOS,ANUAL
1569433459,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569433461,24/06/2022,24/06/2022,AGUINALDO,27519.33,27519.33,PESOS,ANUAL
1569433542,24/06/2022,24/06/2022,AGUINALDO,21689.51,21689.51,PESOS,ANUAL
1569433545,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569433629,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569433631,24/06/2022,24/06/2022,AGUINALDO,18785.56,18785.56,PESOS,ANUAL
1569433717,24/06/2022,24/06/2022,AGUINALDO,18978.43,18978.43,PESOS,ANUAL
1569433719,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569433802,24/06/2022,24/06/2022,AGUINALDO,22350.31,22350.31,PESOS,ANUAL
1569433805,24/06/2022,24/06/2022,AGUINALDO,24284.83,24284.83,PESOS,ANUAL
1569433936,24/06/2022,24/06/2022,AGUINALDO,17634.33,17634.33,PESOS,ANUAL
1569433938,24/06/2022,24/06/2022,AGUINALDO,19159.36,19159.36,PESOS,ANUAL
1569434025,24/06/2022,24/06/2022,AGUINALDO,17363.85,17363.85,PESOS,ANUAL
1569434028,24/06/2022,24/06/2022,AGUINALDO,11756.23,11756.23,PESOS,ANUAL
1569434144,24/06/2022,24/06/2022,AGUINALDO,22031.01,22031.01,PESOS,ANUAL
1569434147,24/06/2022,24/06/2022,AGUINALDO,20171.23,20171.23,PESOS,ANUAL
1569431588,24/06/2022,24/06/2022,AGUINALDO,17378.76,17378.76,PESOS,ANUAL
1569431591,24/06/2022,24/06/2022,AGUINALDO,17494.81,17494.81,PESOS,ANUAL
1569431695,24/06/2022,24/06/2022,AGUINALDO,17494.81,17494.81,PESOS,ANUAL
1569431699,24/06/2022,24/06/2022,AGUINALDO,18728.16,18728.16,PESOS,ANUAL
1569431797,24/06/2022,24/06/2022,AGUINALDO,8821.33,8821.33,PESOS,ANUAL
1569431800,24/06/2022,24/06/2022,AGUINALDO,31133.85,31133.85,PESOS,ANUAL
1569431894,24/06/2022,24/06/2022,AGUINALDO,27601.56,27601.56,PESOS,ANUAL
1569431897,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569431995,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569431998,24/06/2022,24/06/2022,AGUINALDO,31245.48,31245.48,PESOS,ANUAL
1569432104,24/06/2022,24/06/2022,AGUINALDO,20830.32,20830.32,PESOS,ANUAL
1569432107,24/06/2022,24/06/2022,AGUINALDO,19706.76,19706.76,PESOS,ANUAL
1569432191,24/06/2022,24/06/2022,AGUINALDO,20067.15,20067.15,PESOS,ANUAL
1569432193,24/06/2022,24/06/2022,AGUINALDO,21341.52,21341.52,PESOS,ANUAL
1569432196,24/06/2022,24/06/2022,AGUINALDO,13862.45,13862.45,PESOS,ANUAL
1569432269,24/06/2022,24/06/2022,AGUINALDO,34436.03,34436.03,PESOS,ANUAL
1569432271,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569432355,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569432357,24/06/2022,24/06/2022,AGUINALDO,4704.4,4704.4,PESOS,ANUAL
1569432435,24/06/2022,24/06/2022,AGUINALDO,19433.07,19433.07,PESOS,ANUAL
1569432437,24/06/2022,24/06/2022,AGUINALDO,32691.24,32691.24,PESOS,ANUAL
1569432522,24/06/2022,24/06/2022,AGUINALDO,17493.79,17493.79,PESOS,ANUAL
1569432525,24/06/2022,24/06/2022,AGUINALDO,30443.72,30443.72,PESOS,ANUAL
1569432600,24/06/2022,24/06/2022,AGUINALDO,13574.83,13574.83,PESOS,ANUAL
1569432602,24/06/2022,24/06/2022,AGUINALDO,25608.93,25608.93,PESOS,ANUAL
1569432605,24/06/2022,24/06/2022,AGUINALDO,18333.33,18333.33,PESOS,ANUAL
1569432697,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569432699,24/06/2022,24/06/2022,AGUINALDO,23954.73,23954.73,PESOS,ANUAL
1569432794,24/06/2022,24/06/2022,AGUINALDO,21999.36,21999.36,PESOS,ANUAL
1569432796,24/06/2022,24/06/2022,AGUINALDO,19433.05,19433.05,PESOS,ANUAL
1569432888,24/06/2022,24/06/2022,AGUINALDO,29801.8,29801.8,PESOS,ANUAL
1569432891,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569432975,24/06/2022,24/06/2022,AGUINALDO,26585.96,26585.96,PESOS,ANUAL
1569432977,24/06/2022,24/06/2022,AGUINALDO,25880.2,25880.2,PESOS,ANUAL
1569432980,24/06/2022,24/06/2022,AGUINALDO,29651.73,29651.73,PESOS,ANUAL
1569433062,24/06/2022,24/06/2022,AGUINALDO,20118.01,20118.01,PESOS,ANUAL
1569433064,24/06/2022,24/06/2022,AGUINALDO,11183.91,11183.91,PESOS,ANUAL
1569433147,24/06/2022,24/06/2022,AGUINALDO,27668.88,27668.88,PESOS,ANUAL
1569433149,24/06/2022,24/06/2022,AGUINALDO,12772.89,12772.89,PESOS,ANUAL
1569433228,24/06/2022,24/06/2022,AGUINALDO,11743.67,11743.67,PESOS,ANUAL
1569433231,24/06/2022,24/06/2022,AGUINALDO,10565.57,10565.57,PESOS,ANUAL
1569433290,24/06/2022,24/06/2022,AGUINALDO,10052.41,10052.41,PESOS,ANUAL
1569433292,24/06/2022,24/06/2022,AGUINALDO,29234.11,29234.11,PESOS,ANUAL
1569433382,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569433384,24/06/2022,24/06/2022,AGUINALDO,24717.69,24717.69,PESOS,ANUAL
1569433464,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569433466,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569433547,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569433550,24/06/2022,24/06/2022,AGUINALDO,24097.33,24097.33,PESOS,ANUAL
1569433634,24/06/2022,24/06/2022,AGUINALDO,13574.83,13574.83,PESOS,ANUAL
1569433636,24/06/2022,24/06/2022,AGUINALDO,63931.81,63931.81,PESOS,ANUAL
1569433721,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569433724,24/06/2022,24/06/2022,AGUINALDO,19110.04,19110.04,PESOS,ANUAL
1569433807,24/06/2022,24/06/2022,AGUINALDO,19489.4,19489.4,PESOS,ANUAL
1569433809,24/06/2022,24/06/2022,AGUINALDO,30907.33,30907.33,PESOS,ANUAL
1569433812,24/06/2022,24/06/2022,AGUINALDO,9801.29,9801.29,PESOS,ANUAL
1569433940,24/06/2022,24/06/2022,AGUINALDO,20251.69,20251.69,PESOS,ANUAL
1569433943,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569434031,24/06/2022,24/06/2022,AGUINALDO,18885.64,18885.64,PESOS,ANUAL
1569434033,24/06/2022,24/06/2022,AGUINALDO,18885.64,18885.64,PESOS,ANUAL
1569434150,24/06/2022,24/06/2022,AGUINALDO,20362.24,20362.24,PESOS,ANUAL
1569434153,24/06/2022,24/06/2022,AGUINALDO,8922.51,8922.51,PESOS,ANUAL
1569434156,24/06/2022,24/06/2022,AGUINALDO,17363.85,17363.85,PESOS,ANUAL
1569431593,24/06/2022,24/06/2022,AGUINALDO,19791.79,19791.79,PESOS,ANUAL
1569431596,24/06/2022,24/06/2022,AGUINALDO,33521.6,33521.6,PESOS,ANUAL
1569431599,24/06/2022,24/06/2022,AGUINALDO,9578.57,9578.57,PESOS,ANUAL
1569431702,24/06/2022,24/06/2022,AGUINALDO,30069.36,30069.36,PESOS,ANUAL
1569431705,24/06/2022,24/06/2022,AGUINALDO,46412.35,46412.35,PESOS,ANUAL
1569431803,24/06/2022,24/06/2022,AGUINALDO,10887.36,10887.36,PESOS,ANUAL
1569431805,24/06/2022,24/06/2022,AGUINALDO,31487.91,31487.91,PESOS,ANUAL
1569431901,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569431904,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569432001,24/06/2022,24/06/2022,AGUINALDO,11145.12,11145.12,PESOS,ANUAL
1569432004,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569432006,24/06/2022,24/06/2022,AGUINALDO,27314.17,27314.17,PESOS,ANUAL
1569432110,24/06/2022,24/06/2022,AGUINALDO,24996.24,24996.24,PESOS,ANUAL
1569432113,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569432198,24/06/2022,24/06/2022,AGUINALDO,26244.72,26244.72,PESOS,ANUAL
1569432200,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569432274,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569432277,24/06/2022,24/06/2022,AGUINALDO,0,0,NO APLICA,NO APLICA
1569432360,24/06/2022,24/06/2022,AGUINALDO,18118.8,18118.8,PESOS,ANUAL
