ID,FECHA CREACION, FECHA MODIFICACION,DENOMINACIÓN DE LAS PERCEPCIONES ADICIONALES EN DINERO,MONTO BRUTO DE LAS PERCEPCIONES ADICIONALES EN DINERO,MONTO NETO DE LAS PERCEPCIONES ADICIONALES EN DINERO,TIPO DE MONEDA DE LAS PERCEPCIONES ADICIONALES EN DINERO,PERIODICIDAD DE LAS PERCEPCIONES ADICIONALES EN DINERO
1569432884,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,30774.62,25560.55,PESOS,MENSUAL
1569432886,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,11324.26,10275.79,PESOS,MENSUAL
1569432970,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,11143.96,10127.17,PESOS,MENSUAL
1569432972,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,4234.5,3992.37,PESOS,MENSUAL
1569432972,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,10393,10393,PESOS,MENSUAL
1569433057,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,16143.42,14136.35,PESOS,MENSUAL
1569433060,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12076.44,10893.18,PESOS,MENSUAL
1569433142,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,16456.12,14382.26,PESOS,MENSUAL
1569433145,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,22051.4,18782.39,PESOS,MENSUAL
1569433145,24/06/2022,24/06/2022,COMPLEMENTARIOS,6158,5761.99,PESOS,MENSUAL
1569433223,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,3744.76,3533.97,PESOS,MENSUAL
1569433223,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,9833,9833,PESOS,MENSUAL
1569433226,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,11456.6,10384.42,PESOS,MENSUAL
1569433226,24/06/2022,24/06/2022,COMPLEMENTARIOS,1388.68,1328.68,PESOS,MENSUAL
1569433282,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,9578.7,8810.51,PESOS,MENSUAL
1569433285,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,6792.16,6327.15,PESOS,MENSUAL
1569433287,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,3302.88,3120.37,PESOS,MENSUAL
1569433287,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,11800,11800,PESOS,MENSUAL
1569433377,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,10350.6,9460.75,PESOS,MENSUAL
1569433379,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,11774.7,10645.52,PESOS,MENSUAL
1569433379,24/06/2022,24/06/2022,COMPLEMENTARIOS,3895.38,3674.95,PESOS,MENSUAL
1569433459,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,904.8,875.77,PESOS,MENSUAL
1569433459,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,0,0,PESOS,MENSUAL
1569433461,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,17691,15353.37,PESOS,MENSUAL
1569433461,24/06/2022,24/06/2022,COMPLEMENTARIOS,1717.4,1636.36,PESOS,MENSUAL
1569433542,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,13943.26,12406.14,PESOS,MENSUAL
1569433545,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,4858.48,4576.41,PESOS,MENSUAL
1569433545,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,26587,26587,PESOS,MENSUAL
1569433629,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,3056.64,2889.89,PESOS,MENSUAL
1569433629,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,4670,4670,PESOS,MENSUAL
1569433629,24/06/2022,24/06/2022,ZONA GEOGRAFICA,1358.5,1300.43,PESOS,MENSUAL
1569433631,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12076.44,10893.18,PESOS,MENSUAL
1569433717,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12200.42,10994.95,PESOS,MENSUAL
1569433717,24/06/2022,24/06/2022,COMPLEMENTARIOS,774.62,753.92,PESOS,MENSUAL
1569433719,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,2418.38,2292.48,PESOS,MENSUAL
