ID,FECHA CREACION, FECHA MODIFICACION,DENOMINACIÓN DE LOS APOYOS ECONÓMICOS,MONTO BRUTO DE LOS APOYOS ECONÓMICOS,MONTO NETO DE LOS APOYOS ECONÓMICOS,TIPO DE MONEDA DE LOS APOYOS ECONÓMICOS,PERIODICIDAD DE LOS APOYOS ECONÓMICOS
1673124655,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124657,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124677,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124678,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124709,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124710,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124741,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124742,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124772,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124773,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124805,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124804,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124836,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124837,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124868,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124869,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124900,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124902,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124932,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124933,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124965,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124964,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124967,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124968,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124970,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124971,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124976,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124978,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124984,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124986,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125004,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125005,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125016,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125018,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125030,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125031,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125046,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125047,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125065,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
