ID,FECHA CREACION, FECHA MODIFICACION,DENOMINACIÓN DE LAS PRIMAS,MONTO BRUTO DE LAS PRIMAS,MONTO NETO DE LAS PRIMAS,TIPO DE MONEDA DE LAS PRIMAS,PERIODICIDAD DE LAS PRIMAS
1673124655,18/01/2023,18/01/2023,PRIMA VACACIONAL,7977.52,7977.52,PESOS,SEMESTRAL
1673124657,18/01/2023,18/01/2023,PRIMA VACACIONAL,8762.19,8762.19,PESOS,SEMESTRAL
1673124677,18/01/2023,18/01/2023,PRIMA VACACIONAL,4184.93,4184.93,PESOS,SEMESTRAL
1673124678,18/01/2023,18/01/2023,PRIMA VACACIONAL,2140.68,2140.68,PESOS,SEMESTRAL
1673124658,18/01/2023,18/01/2023,PRIMA VACACIONAL,7846.74,7846.74,PESOS,SEMESTRAL
1673124679,18/01/2023,18/01/2023,PRIMA VACACIONAL,4882.42,4882.42,PESOS,SEMESTRAL
1673124680,18/01/2023,18/01/2023,PRIMA VACACIONAL,2140.68,2140.68,PESOS,SEMESTRAL
1673124681,18/01/2023,18/01/2023,PRIMA VACACIONAL,3905.93,3905.93,PESOS,SEMESTRAL
1673125115,18/01/2023,18/01/2023,PRIMA VACACIONAL,6695.89,6695.89,PESOS,SEMESTRAL
1673124709,18/01/2023,18/01/2023,PRIMA VACACIONAL,2140.68,2140.68,PESOS,SEMESTRAL
1673124710,18/01/2023,18/01/2023,PRIMA VACACIONAL,8369.86,8369.86,PESOS,SEMESTRAL
1673124711,18/01/2023,18/01/2023,PRIMA VACACIONAL,5579.9,5579.9,PESOS,SEMESTRAL
1673124713,18/01/2023,18/01/2023,PRIMA VACACIONAL,9154.53,9154.53,PESOS,SEMESTRAL
1673124715,18/01/2023,18/01/2023,PRIMA VACACIONAL,5579.9,5579.9,PESOS,SEMESTRAL
1673124742,18/01/2023,18/01/2023,PRIMA VACACIONAL,4969.6,4969.6,PESOS,SEMESTRAL
1673124743,18/01/2023,18/01/2023,PRIMA VACACIONAL,9023.75,9023.75,PESOS,SEMESTRAL
1673124772,18/01/2023,18/01/2023,PRIMA VACACIONAL,8239.08,8239.08,PESOS,SEMESTRAL
1673124774,18/01/2023,18/01/2023,PRIMA VACACIONAL,5579.9,5579.9,PESOS,SEMESTRAL
1673124776,18/01/2023,18/01/2023,PRIMA VACACIONAL,8631.41,8631.41,PESOS,SEMESTRAL
1673124777,18/01/2023,18/01/2023,PRIMA VACACIONAL,5143.97,5143.97,PESOS,SEMESTRAL
1673124773,18/01/2023,18/01/2023,PRIMA VACACIONAL,2140.68,2140.68,PESOS,SEMESTRAL
1673124805,18/01/2023,18/01/2023,PRIMA VACACIONAL,7009.76,7009.76,PESOS,SEMESTRAL
1673124806,18/01/2023,18/01/2023,PRIMA VACACIONAL,4673.17,4673.17,PESOS,SEMESTRAL
1673124808,18/01/2023,18/01/2023,PRIMA VACACIONAL,5405.53,5405.53,PESOS,SEMESTRAL
1673124804,18/01/2023,18/01/2023,PRIMA VACACIONAL,2140.68,2140.68,PESOS,SEMESTRAL
1673124807,18/01/2023,18/01/2023,PRIMA VACACIONAL,2354.75,2354.75,PESOS,SEMESTRAL
1673124837,18/01/2023,18/01/2023,PRIMA VACACIONAL,4603.42,4603.42,PESOS,SEMESTRAL
1673124839,18/01/2023,18/01/2023,PRIMA VACACIONAL,7009.76,7009.76,PESOS,SEMESTRAL
1673124840,18/01/2023,18/01/2023,PRIMA VACACIONAL,7009.76,7009.76,PESOS,SEMESTRAL
1673124868,18/01/2023,18/01/2023,PRIMA VACACIONAL,8108.3,8108.3,PESOS,SEMESTRAL
1673124869,18/01/2023,18/01/2023,PRIMA VACACIONAL,8108.3,8108.3,PESOS,SEMESTRAL
1673124900,18/01/2023,18/01/2023,PRIMA VACACIONAL,8369.86,8369.86,PESOS,SEMESTRAL
1673124902,18/01/2023,18/01/2023,PRIMA VACACIONAL,5492.72,5492.72,PESOS,SEMESTRAL
1673124903,18/01/2023,18/01/2023,PRIMA VACACIONAL,7219,7219,PESOS,SEMESTRAL
1673124932,18/01/2023,18/01/2023,PRIMA VACACIONAL,8892.97,8892.97,PESOS,SEMESTRAL
1673124934,18/01/2023,18/01/2023,PRIMA VACACIONAL,5231.16,5231.16,PESOS,SEMESTRAL
1673124936,18/01/2023,18/01/2023,PRIMA VACACIONAL,4969.6,4969.6,PESOS,SEMESTRAL
1673124937,18/01/2023,18/01/2023,PRIMA VACACIONAL,8239.08,8239.08,PESOS,SEMESTRAL
1673124965,18/01/2023,18/01/2023,PRIMA VACACIONAL,5667.09,5667.09,PESOS,SEMESTRAL
1673124968,18/01/2023,18/01/2023,PRIMA VACACIONAL,5143.97,5143.97,PESOS,SEMESTRAL
1673124971,18/01/2023,18/01/2023,PRIMA VACACIONAL,4603.42,4603.42,PESOS,SEMESTRAL
1673124966,18/01/2023,18/01/2023,PRIMA VACACIONAL,9107.05,9107.05,PESOS,SEMESTRAL
1673124969,18/01/2023,18/01/2023,PRIMA VACACIONAL,5579.9,5579.9,PESOS,SEMESTRAL
1673124964,18/01/2023,18/01/2023,PRIMA VACACIONAL,2996.95,2996.95,PESOS,SEMESTRAL
1673124967,18/01/2023,18/01/2023,PRIMA VACACIONAL,2140.68,2140.68,PESOS,SEMESTRAL
1673124975,18/01/2023,18/01/2023,PRIMA VACACIONAL,2140.68,2140.68,PESOS,SEMESTRAL
1673124976,18/01/2023,18/01/2023,PRIMA VACACIONAL,4533.67,4533.67,PESOS,SEMESTRAL
1673124978,18/01/2023,18/01/2023,PRIMA VACACIONAL,4673.17,4673.17,PESOS,SEMESTRAL
1673124973,18/01/2023,18/01/2023,PRIMA VACACIONAL,10331.54,10331.54,PESOS,SEMESTRAL
1673124974,18/01/2023,18/01/2023,PRIMA VACACIONAL,5143.97,5143.97,PESOS,SEMESTRAL
1673124984,18/01/2023,18/01/2023,PRIMA VACACIONAL,4673.17,4673.17,PESOS,SEMESTRAL
1673124979,18/01/2023,18/01/2023,PRIMA VACACIONAL,9023.75,9023.75,PESOS,SEMESTRAL
1673124981,18/01/2023,18/01/2023,PRIMA VACACIONAL,7009.76,7009.76,PESOS,SEMESTRAL
1673124986,18/01/2023,18/01/2023,PRIMA VACACIONAL,4603.42,4603.42,PESOS,SEMESTRAL
1673124987,18/01/2023,18/01/2023,PRIMA VACACIONAL,9023.75,9023.75,PESOS,SEMESTRAL
1673124989,18/01/2023,18/01/2023,PRIMA VACACIONAL,8108.3,8108.3,PESOS,SEMESTRAL
1673125005,18/01/2023,18/01/2023,PRIMA VACACIONAL,5667.09,5667.09,PESOS,SEMESTRAL
1673125016,18/01/2023,18/01/2023,PRIMA VACACIONAL,9023.75,9023.75,PESOS,SEMESTRAL
1673125018,18/01/2023,18/01/2023,PRIMA VACACIONAL,5892.84,5892.84,PESOS,SEMESTRAL
1673125019,18/01/2023,18/01/2023,PRIMA VACACIONAL,9677.65,9677.65,PESOS,SEMESTRAL
1673125030,18/01/2023,18/01/2023,PRIMA VACACIONAL,4882.42,4882.42,PESOS,SEMESTRAL
