CVU,NOMBRE,NIVEL
3,"VERMA JAISWAL, SURENDRA PAL",Investigador(a) Nacional Nivel III
4,"ALONSO SANCHEZ, JORGE",Investigador(a) Nacional Nivel III
5,"AZAOLA GARRIDO, ELENA",Investigador(a) Nacional Nivel III
14,"CALDERON DIAZ BARRIGA, GRACIELA",Investigador(a) Nacional Nivel III
15,"RZEDOWSKI ROTTER, JERZY",Investigador(a) Nacional Nivel III
18,"PEREZ ANGON, MIGUEL ANGEL",Investigador(a) Nacional Nivel III
19,"MEDINA NOYOLA, MAGDALENO",Investigador(a) Nacional Nivel III
20,"MORAN LOPEZ, JOSE LUIS",Investigador(a) Nacional Nivel III
23,"LLAMA LEAL, MIGUEL ANGEL",Investigador(a) Nacional Nivel I
26,"SANTIBAÑEZ DAVILA, VICTOR ADRIAN",Investigador(a) Nacional Nivel III
32,"SOTO RODRIGUEZ, ROGELIO",Investigador(a) Nacional Nivel II
37,"VALDES PEREZGASGA, FRANCISCO",Investigador(a) Nacional Nivel II
38,"HAHN SCHLAM, FEDERICO FELIX",Investigador(a) Nacional Nivel II
41,"HUERTA QUINTANILLA, RODRIGO",Investigador(a) Nacional Nivel I
42,"LUCIO MARTINEZ, JOSE LUIS",Investigador(a) Nacional Nivel III
43,"HERNANDEZ VELA SALGADO, EDMUNDO",Investigador(a) Nacional Nivel III
44,"SANCHEZ RUIZ, ENRIQUE ERNESTO",Investigador(a) Nacional Nivel III
45,"MENDOZA ALVAREZ, JULIO GREGORIO",Investigador(a) Nacional Nivel III
46,"GONZALEZ DE LA CRUZ, GERARDO ARCADIO",Investigador(a) Nacional Nivel III
48,"HERNANDEZ LERMA, ONESIMO",Investigador(a) Nacional Nivel III
49,"SERRANO SANTOYO, ARTURO",Investigador(a) Nacional Nivel II
62,"ZAPATA SCHAFFELD, FRANCISCO JUAN",Investigador(a) Nacional Nivel III
63,"VELASCO BELMONT, ROSA MARIA",Investigador(a) Nacional Nivel III
65,"PALAZON MAYORAL, MARIA ROSA",Investigador(a) Nacional Nivel III
66,"DARSZON ISRAEL, ALBERTO",Investigador(a) Nacional Nivel III
69,"LARA LARA, JOSE RUBEN",Investigador(a) Nacional Nivel III
70,"MARINONE MOSCHETTO, SILVIO GUIDO LORENZO",Investigador(a) Nacional Nivel III
